negeri,daerah,mukim,seksyen,lot,name,lat,lon,developer,completion_year,tenure,number_of_floors,number_of_units
14,00,02,000,56952,MONT KIARA PALMA,3.16784,101.653087,Sunrise Berhad,1994,Freehold,36,402
14,00,02,000,67259,11 MONT KIARA,3.169043,101.655153,UEM Sunrise Berhad,2011,Freehold,43,339
14,00,02,000,80730,RESIDENSI 22,3.167875,101.650085,,,,,
14,00,02,000,67756,AGILE MONT KIARA,3.17219,101.661705,AGILE REAL ESTATE DEVELOPMENT (M) SDN BHD,2019,Freehold,45,813
14,00,02,000,57936,MONT KIARA AMAN,3.172807,101.656002,Sunrise Berhad,2005,Freehold,32,345
14,00,02,000,61596,CHANGKAT VIEW CONDOMINIUM,3.178716,101.659513,,2009,Freehold,26,796
14,00,02,000,61039,SRI PUTRAMAS,3.18096,101.673836,Malaysia Land Properties Sdn. Bhd.,2004,Freehold,25,1220
14,00,02,000,63174,ROYAL DOMAIN SRI PUTRAMAS 2,3.180402,101.674378,UDA Holdings Berhad,2007,Freehold,36,1022
14,00,44,083,57071,RIVERCITY CONDOMINIUM,3.180112,101.681382,Sem Siong Industries,2007,Freehold,N/A,572
14,00,44,071,493,TIJANI 2,3.171894,101.68233,Tijani,2009,Freehold,17,154
14,00,44,084,282,THE CAPERS,3.181512,101.693957,YTL Corporation,2015,Freehold,40,338
14,00,44,040,323,6 CAPSQUARE,3.154181,101.700122,Bandar Raya Development Sdn Bhd,2013,Freehold,27,176
14,00,44,057,1315,VERTICAS RESIDENSI,3.147843,101.704192,Starpuri Development (a subsidiary of Wing Tai Asia),2012,Freehold,43,423
14,00,05,000,56490,1 DESA RESIDENCE,3.10551,101.692116,UOA Group,2007,Freehold,13,104
14,00,06,000,9582,THE LEGACY OUG,3.079572,101.671754,,,,,
10,08,40,019,11113,FRASER TOWERS,3.089825,101.659136,Gasing Heights Sdn Bhd,1994,Freehold,26,260
10,00,06,000,101140,THE Z RESIDENCE,3.06449,101.665919,Darul Dinasti (Trinity Group),2014,Freehold,N/A,1136
14,00,06,000,39868,THE TREEZ JALIL RESIDENCE,3.056145,101.671753,Jalilmax Development,2013,Freehold,135,N/A
14,00,06,000,101530,ANYAMAN RESIDENCE,3.070347,101.707474,Zyns Properties,2016,Freehold,17,372
10,08,89,000,75931,ZEFER HILL RESIDENCE,3.068557,101.622745,VILLAMAS GROUP OF COMPANIES,2015,Freehold,22,346
10,08,40,039,49679,FIVE STONES,3.123708,101.627226,Selangor Dredging Berhad,2012,Freehold,38,377
10,08,40,039,60438,1 BUKIT UTAMA,3.141052,101.604491,,2005,Freehold,31,586
