brochure_dokumen_url,id,iklan,lesen_records,lat,lng,lokasi,nama,pemaju_alamat_daftar,pemaju_alamat_perniagaan,pemaju_alamat_web,pemaju_bilanganProjek,pemaju_emel,pemaju_kod_pemaju,pemaju_latest_lesen_no_lesenpermit,pemaju_latest_lesen_tarikh_luput,pemaju_latest_lesen_tarikh_mula,pemaju_mempunyaiKesalahan,pemaju_nama,pemaju_statusPemaju,pemaju_telefon,pemaju_telefon2,pjb_jenis,pjb_pindaanTempohSerahKosong,pjb_serahKosongBaharuIkutPjbPertama,pjb_serahKosongIkutPjb,pjb_tarikhPjbPertama,pjb_tempohAsal,pjb_tempohPembinaanBaharu,pjb_tempohTambahanDiluluskan,projek_daerah,projek_kod_projek,projek_nama,projek_negeri,projek_permitMula,projek_permitNo,projek_permitTamat,status_keseluruhan,status_maklumatPembangunan,status_nota,status_rows,unitSummary_bilik,unitSummary_bilikAir,unitSummary_keluasan,unitSummary_unit
https://hims.kpkt.gov.my/files/14069/P45/P45-20250225-00015062/IKLAN_BROSUR_01.pdf,14069-2,"[{""src"": ""https://hims.kpkt.gov.my/files/14069/P45/P45-20250225-00015062/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""14069-2/03-2025/0240(R)-(S)"", ""mula"": ""30 Mar 2024"", ""tamat"": ""29 Mar 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""14069-2/03-2024/0714(R)-(S)"", ""mula"": ""30 Mar 2023"", ""tamat"": ""29 Mar 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""14069-2/03-2023/0282(P)"", ""mula"": ""30 Mar 2021"", ""tamat"": ""29 Mar 2023"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}]",3.127172,101.674385,"Kuala Lumpur, WP Kuala Lumpur",38 BANGSAR RESIDENSI,"Tingkat 15, Blok Menara, Kompleks Pertama, Jalan Tuanku Abdul Rahman, 50100, Kuala Lumpur, Wp Kuala Lumpur","Tingkat 5, Blok Menara, Kompleks Pertama, Jalan Tuanku Abdul Rahman, 50100, Kuala Lumpur, Wp Kuala Lumpur",,2,AzharY@udanet.com,14069,14069/03-2028/0582(R),29/3/2028,30/3/2023,Ada Kesalahan,ONE JSI DEVELOPMENT SDN. BHD.,Aktif,0327308500,0327308500,Jadual H,Ya,21-Sep-25,21-Sep-24,21-Sep-21,36 Bulan,48 Bulan,12 Bulan,Kuala Lumpur,14069-2,38 Bangsar Residensi,Wp Kuala Lumpur,30/3/2025,14069-2/03-2026/0237(R)-(S),29/3/2026,Siap Dengan CCC,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""38"", ""bilik"": ""1, 2, 3"", ""tandas"": ""1, 2, 3"", ""keluasan"": ""0 - 54"", ""unit"": 278, ""hargaMin"": ""686,999.00"", ""hargaMax"": ""1,906,667.00"", ""peratus"": ""100.00"", ""komponen"": ""Siap Dengan CCC"", ""ccc"": ""08/09/2025"", ""vp"": ""17/09/2025""}]","1, 2, 3","1, 2, 3",0ï¿½54 mps,278
https://hims.kpkt.gov.my/files/20198/P45/P45-20251017-00017476/IKLAN_BROSUR_01.pdf,20198-1,"[{""src"": ""https://hims.kpkt.gov.my/files/20198/P45/P45-20251017-00017476/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""20198-1/12-2025/0796(A)-(S)"", ""mula"": ""08 Dec 2024"", ""tamat"": ""07 Dec 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""20198-1/12-2025/0796(R)-(S)"", ""mula"": ""08 Dec 2024"", ""tamat"": ""07 Dec 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""20198-1/12-2024/1674(A)-(S)"", ""mula"": ""08 Dec 2023"", ""tamat"": ""07 Dec 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""20198-1/12-2024/1674(R)-(S)"", ""mula"": ""08 Dec 2023"", ""tamat"": ""07 Dec 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""20198-1/12-2023/0899(A)-(S)"", ""mula"": ""08 Dec 2021"", ""tamat"": ""07 Dec 2023"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""20198-1/12-2023/0899(P)"", ""mula"": ""08 Dec 2021"", ""tamat"": ""07 Dec 2023"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}]",3.186789,101.711464,"Kuala Lumpur, WP Kuala Lumpur",ALAIA TITIWANGSA,"Unit 7-01, Level 7,, Menara Lagenda,, No. 3, Jalan Ss20/27,, 47400, Petaling , Selangor","Unit 2, Level 43, Naza Tower Platinum Park, No. 10, Persiaran Klcc, 50088, Wp Kuala Lumpur",,1,marketing@multifieldasia.com,20198,20198/12-2026/1364(A),7/12/2026,8/12/2023,Ada Kesalahan,BLACK LOTUS DEVELOPMENT SDN. BHD.,Aktif,0323810439,0338508282,Jadual H,Ya,16-Dec-26,16-Dec-24,16-Dec-21,36 Bulan,60 Bulan,24 Bulan,Kuala Lumpur,20198-1,Alaia Titiwangsa,Wp Kuala Lumpur,8/12/2025,20198-1/12-2026/0884(R)-(S),7/12/2026,Lewat,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""40"", ""bilik"": ""1, 2, 3"", ""tandas"": ""1, 2"", ""keluasan"": ""0"", ""unit"": 436, ""hargaMin"": ""533,000.00"", ""hargaMax"": ""1,061,000.00"", ""peratus"": ""59.20"", ""komponen"": ""Lewat"", ""ccc"": ""-"", ""vp"": ""-""}]","1, 2, 3","1, 2",0 mps,436
https://hims.kpkt.gov.my/files/30280/P45/P45-20250312-00015277/IKLAN_BROSUR_01.pdf,30280-1,"[{""src"": ""https://hims.kpkt.gov.my/files/30280/P45/P45-20250312-00015277/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""30280-1/07-2026/0797(A)-(S)"", ""mula"": ""10 Jul 2023"", ""tamat"": ""09 Jul 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Aktif""}, {""no"": ""30280-1/07-2026/0797(N)-(S)"", ""mula"": ""10 Jul 2023"", ""tamat"": ""09 Jul 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Tidak Aktif""}]",3.173868,101.659462,"Kuala Lumpur, WP Kuala Lumpur",ARTE SOLARIS,"No.17-a, Jalan Daya 6, Taman Daya, Kepong, 52100, Kuala Lumpur, Wp Kuala Lumpur","Unit 106, Block E, Phileo Damansara 1, No 9, Jalan 16/11, Off Jalan Damansara, 46350, Petaling , Selangor",,1,enquiry@artecorp.com.my,30280,30280/11-2027/0279(A),9/11/2027,10/11/2022,,SOLARIS CERIA SDN. BHD.,Aktif,0379556676,,Jadual H,Ya,6-Jan-28,6-Sep-26,6-Sep-23,36 Bulan,52 Bulan,16 Bulan,Kuala Lumpur,30280-1,Arte Solaris,Wp Kuala Lumpur,10/7/2023,30280-1/07-2026/0797(A)-(S),9/7/2026,Lancar,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""20"", ""bilik"": ""1, 2, 3"", ""tandas"": ""1, 2, 3"", ""keluasan"": ""0"", ""unit"": 170, ""hargaMin"": ""988,000.00"", ""hargaMax"": ""2,699,000.00"", ""peratus"": ""71.00"", ""komponen"": ""Lancar"", ""ccc"": ""-"", ""vp"": ""-""}]","1, 2, 3","1, 2, 3",0 mps,170
https://hims.kpkt.gov.my/files/19858/P45/P45-20250120-00014620/IKLAN_BROSUR_01.pdf,19858-1,"[{""src"": ""https://hims.kpkt.gov.my/files/19858/P45/P45-20250120-00014620/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""19858-1/02-2025/0116(A)-(S)"", ""mula"": ""21 Feb 2024"", ""tamat"": ""20 Feb 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19858-1/02-2025/0116(R)-(S)"", ""mula"": ""21 Feb 2024"", ""tamat"": ""20 Feb 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19858-1/02-2024/0575(A)-(S)"", ""mula"": ""21 Feb 2023"", ""tamat"": ""20 Feb 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19858-1/02-2024/0575(R)-(S)"", ""mula"": ""21 Feb 2023"", ""tamat"": ""20 Feb 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19858-1/02-2023/01422(P)"", ""mula"": ""21 Feb 2022"", ""tamat"": ""20 Feb 2023"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19858-1/01-2022/26(P)"", ""mula"": ""08 Jan 2020"", ""tamat"": ""07 Jan 2022"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}]",3.202743,101.658038,"Kuala Lumpur, WP Kuala Lumpur",ARUNYA @ KL NORTH,"B-11-10, Level 11, Megan Avenue Ii, Jalan Yap Kwan Seng, 50450, Kuala Lumpur, Wp Kuala Lumpur","B-11-5, Block B, Megan Avenue Ii, No. 12, Jalan Yap Kwan Seng, 50450, Kuala Lumpur, Wp Kuala Lumpur",,1,-,19858,19858/02-2029/0658(R),20/2/2029,21/2/2026,,KLN LAND SDN. BHD.,Aktif,,,Jadual H,Ya,22-Jul-25,22-Feb-24,22-Feb-21,36 Bulan,53 Bulan,17 Bulan,Kuala Lumpur,19858-1,Arunya @ Kl North,Wp Kuala Lumpur,21/2/2025,19858-1/02-2026/0072(R)-(S),20/2/2026,Siap Dengan CCC,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""35"", ""bilik"": ""2, 3, 4"", ""tandas"": ""1, 2, 4"", ""keluasan"": ""0"", ""unit"": 273, ""hargaMin"": ""478,174.00"", ""hargaMax"": ""1,274,000.00"", ""peratus"": ""100.00"", ""komponen"": ""Siap Dengan CCC"", ""ccc"": ""22/05/2025"", ""vp"": ""10/06/2025""}, {""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""36"", ""bilik"": ""2, 3"", ""tandas"": ""1, 2"", ""keluasan"": ""0 - 67"", ""unit"": 358, ""hargaMin"": ""409,800.00"", ""hargaMax"": ""1,248,000.00"", ""peratus"": ""100.00"", ""komponen"": ""Siap Dengan CCC"", ""ccc"": ""22/05/2025"", ""vp"": ""10/06/2025""}]","2, 3, 4","1, 2, 4",0ï¿½67 mps,631
https://hims.kpkt.gov.my/files/7997/P45/P45-20250221-00015016/IKLAN_BROSUR_01.pdf,7997-3,"[{""src"": ""https://hims.kpkt.gov.my/files/7997/P45/P45-20250221-00015016/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""7997-3/02-2025/0214(R)-(S)"", ""mula"": ""13 Feb 2024"", ""tamat"": ""12 Feb 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""7997-3/02-2024/0221(A)-(S)"", ""mula"": ""13 Feb 2023"", ""tamat"": ""12 Feb 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""7997-3/02-2024/0221(R)-(S)"", ""mula"": ""13 Feb 2023"", ""tamat"": ""12 Feb 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""7997-3/02-2023/01241(A)-(S)"", ""mula"": ""13 Feb 2022"", ""tamat"": ""12 Feb 2023"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""7997-3/02-2023/01241(P)"", ""mula"": ""13 Feb 2022"", ""tamat"": ""12 Feb 2023"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""7997-3/02-2022/0139(P)"", ""mula"": ""13 Feb 2020"", ""tamat"": ""12 Feb 2022"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}]",3.129842,101.67521,"Kuala Lumpur, WP Kuala Lumpur",BANGSAR HILL PARK,"Suite 8, Main Tower Sunsuria Avenue, , Persiaran Mahogani,, Kota Damansara Pju 5,, 47810, Petaling , Selangor","Suite 8, Main Tower, Sunsuria Avenue, Persiaran Mahogani, Kota Damansara Pju 5, 47810, Petaling , Selangor",,4,pamela.low@bangsarhillpark.com,7997,7997/02-2026/0421(A),12/2/2026,13/2/2023,,BANGSAR HILL PARK DEVELOPMENT SDN. BHD.,Aktif,0322811818,,Jadual H,Ya,8-Aug-25,8-Sep-23,8-Sep-20,36 Bulan,59 Bulan,23 Bulan,Kuala Lumpur,7997-3,Bangsar Hill Park,Wp Kuala Lumpur,13/2/2025,7997-3/02-2026/0174(R)-(S),12/2/2026,Siap Dengan CCC,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Rumah Pangsa/Kondo"", ""tingkat"": ""62"", ""bilik"": ""2, 3, 4"", ""tandas"": ""2, 4"", ""keluasan"": ""0 - 39,739"", ""unit"": 406, ""hargaMin"": ""751,500.00"", ""hargaMax"": ""1,472,000.00"", ""peratus"": ""100.00"", ""komponen"": ""Siap Dengan CCC"", ""ccc"": ""05/05/2025"", ""vp"": ""16/05/2025""}, {""jenis"": ""Rumah Pangsa/Kondo"", ""tingkat"": ""62"", ""bilik"": ""2, 3"", ""tandas"": ""2, 3, 4"", ""keluasan"": ""0"", ""unit"": 406, ""hargaMin"": ""928,000.00"", ""hargaMax"": ""1,599,000.00"", ""peratus"": ""100.00"", ""komponen"": ""Siap Dengan CCC"", ""ccc"": ""05/05/2025"", ""vp"": ""30/05/2025""}]","2, 3, 4","2, 4","0ï¿½39,739 mps",812
https://hims.kpkt.gov.my/files/30784/P45/P45-20250423-00015738/IKLAN_BROSUR_01.pdf,30784-1,"[{""src"": ""https://hims.kpkt.gov.my/files/30784/P45/P45-20250423-00015738/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""30784-1/08-2027/0728(N)-(S)"", ""mula"": ""14 Aug 2024"", ""tamat"": ""13 Aug 2027"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Aktif""}]",3.144097,101.711779,"Kuala Lumpur, WP Kuala Lumpur",BRANNIGANZ SUITES @ BUKIT BINTANG,"No. D-09-02, Level 9, Exsim Tower, Millerz Square @ Old Klang Road, Megan Legasi, No. 357, Jalan Kelang Lama, 58000, Kuala Lumpur, Wp Kuala Lumpur","D-35-01, Level 35, Exsim Tower, Millerz Square @ Old Klang Road, Megan Legasi, No. 357, Jalan Kelang Lama, 58000, Kuala Lumpur, Wp Kuala Lumpur",,1,syazana.sahimi@exsim.my,30784,30784/05-2029/0126(A),30/5/2029,31/5/2024,,LEMBARAN BERUNTUNG SDN. BHD.,Aktif,0379631999,,Jadual H,Ya,16-Jan-29,16-Sep-27,16-Sep-24,36 Bulan,52 Bulan,16 Bulan,Kuala Lumpur,30784-1,Branniganz Suites @ Bukit Bintang,Wp Kuala Lumpur,14/8/2024,30784-1/08-2027/0728(A)-(S),13/8/2027,Lancar,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""50"", ""bilik"": ""1, 2"", ""tandas"": ""1, 2"", ""keluasan"": ""0"", ""unit"": 269, ""hargaMin"": ""1,283,975.00"", ""hargaMax"": ""1,722,240.00"", ""peratus"": ""27.25"", ""komponen"": ""Lancar"", ""ccc"": ""-"", ""vp"": ""-""}]","1, 2","1, 2",0 mps,269
,19787-2,[],"[{""no"": ""19787-2/02-2026/0141(A)-(S)"", ""mula"": ""17 Feb 2023"", ""tamat"": ""16 Feb 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Aktif""}, {""no"": ""19787-2/02-2026/0141(N)-(S)"", ""mula"": ""17 Feb 2023"", ""tamat"": ""16 Feb 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Tidak Aktif""}]",3.074848,101.689928,"Kuala Lumpur, WP Kuala Lumpur",BUKIT ASTER SRI PETALING,"No.9 Jalan Indah 16, Taman Cheras Indah, 56100, Kuala Lumpur, Wp Kuala Lumpur","Level 33, Uoa Corporate Tower,, Lobby A, Avenue 10, The Vertical, No.8, Jalan Kerinchi,, 59200, Kuala Lumpur, Wp Kuala Lumpur",,3,-,19787,19787/10-2028/0512(R),16/10/2028,17/10/2025,,COSMO HOUSING DEVELOPMENT SDN. BHD.,Aktif,,,Jadual H,Ya,11-Jul-27,11-Jul-26,11-Jul-23,36 Bulan,48 Bulan,12 Bulan,Kuala Lumpur,19787-2,Bukit Aster Sri Petaling,Wp Kuala Lumpur,17/2/2023,19787-2/02-2026/0141(A)-(S),16/2/2026,Lancar,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Suite"", ""tingkat"": ""34"", ""bilik"": ""3"", ""tandas"": ""2"", ""keluasan"": ""0"", ""unit"": 575, ""hargaMin"": ""573,000.00"", ""hargaMax"": ""828,300.00"", ""peratus"": ""65.18"", ""komponen"": ""Lancar"", ""ccc"": ""-"", ""vp"": ""-""}]",3,2,0 mps,575
https://hims.kpkt.gov.my/files/19787/19787-3/IKLAN_BROSUR_01.pdf,19787-3,"[{""src"": ""https://hims.kpkt.gov.my/files/19787/19787-3/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""19787-3/02-2026/0142(A)-(S)"", ""mula"": ""17 Feb 2023"", ""tamat"": ""16 Feb 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Aktif""}, {""no"": ""19787-3/02-2026/0142(N)-(S)"", ""mula"": ""17 Feb 2023"", ""tamat"": ""16 Feb 2026"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Tidak Aktif""}]",3.075667,101.691264,"Kuala Lumpur, WP Kuala Lumpur",BUKIT ASTER SRI PETALING,"No.9 Jalan Indah 16, Taman Cheras Indah, 56100, Kuala Lumpur, Wp Kuala Lumpur","Level 33, Uoa Corporate Tower,, Lobby A, Avenue 10, The Vertical, No.8, Jalan Kerinchi,, 59200, Kuala Lumpur, Wp Kuala Lumpur",,3,-,19787,19787/10-2028/0512(R),16/10/2028,17/10/2025,,COSMO HOUSING DEVELOPMENT SDN. BHD.,Aktif,,,Jadual H,Ya,5-Mar-27,5-Mar-26,5-Mar-23,36 Bulan,48 Bulan,12 Bulan,Kuala Lumpur,19787-3,Bukit Aster Sri Petaling,Wp Kuala Lumpur,17/2/2023,19787-3/02-2026/0142(A)-(S),16/2/2026,Lancar,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Suite"", ""tingkat"": ""34"", ""bilik"": ""3"", ""tandas"": ""2"", ""keluasan"": ""0"", ""unit"": 575, ""hargaMin"": ""569,000.00"", ""hargaMax"": ""843,300.00"", ""peratus"": ""74.78"", ""komponen"": ""Lancar"", ""ccc"": ""-"", ""vp"": ""-""}]",3,2,0 mps,575
https://hims.kpkt.gov.my/files/19997/P45/P45-20251009-00017386/IKLAN_BROSUR_01.pdf,19997-1,"[{""src"": ""https://hims.kpkt.gov.my/files/19997/P45/P45-20251009-00017386/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""19997-1/10-2025/0757(R)-(S)"", ""mula"": ""16 Oct 2024"", ""tamat"": ""15 Oct 2025"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19997-1/10-2024/0368(R)-(S)"", ""mula"": ""16 Oct 2023"", ""tamat"": ""15 Oct 2024"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19997-1/10-2023/0417(A)-(S)"", ""mula"": ""16 Oct 2022"", ""tamat"": ""15 Oct 2023"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19997-1/10-2023/0417(R)-(S)"", ""mula"": ""16 Oct 2022"", ""tamat"": ""15 Oct 2023"", ""tempoh"": ""12 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19997-1/10-2022/0381(A)-(S)"", ""mula"": ""16 Oct 2020"", ""tamat"": ""15 Oct 2022"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}, {""no"": ""19997-1/10-2022/0691(P)"", ""mula"": ""16 Oct 2020"", ""tamat"": ""15 Oct 2022"", ""tempoh"": ""24 bulan"", ""is_latest"": false, ""status"": ""Tamat""}]",3.151614,101.648083,"Kuala Lumpur, WP Kuala Lumpur",CEDAR BUKIT DAMANSARA,"Ho Hup Tower - Aurora Place, 2-07-01 - Level 7, Plaza Bukit Jalil, No. 1, Persiaran Jalil 1, Bandar Bukit Jalil, 57000, Kuala Lumpur, Wp Kuala Lumpur","Suite 7.02, Level 7, Work @ Clearwater, Changkat Semantan , Damansara Heigts, 50490, Kuala Lumpur, Wp Kuala Lumpur",,1,salesadmin@thecedar.my,19997,19997/10-2032/0576(A),15/10/2032,16/10/2027,,SATIN MAGIC SDN. BHD.,Aktif,0320930018,,Jadual H,Ya,21-Oct-26,21-May-24,21-May-21,36 Bulan,65 Bulan,29 Bulan,Kuala Lumpur,19997-1,Cedar Bukit Damansara,Wp Kuala Lumpur,16/10/2025,19997-1/10-2026/0889(R)-(S),15/10/2026,Lewat,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Rumah Pangsa/Kondo"", ""tingkat"": ""7"", ""bilik"": ""3, 4, 5"", ""tandas"": ""4, 5, 6"", ""keluasan"": ""0 - 403,822"", ""unit"": 70, ""hargaMin"": ""4,834,564.00"", ""hargaMax"": ""29,246,400.00"", ""peratus"": ""70.14"", ""komponen"": ""Lewat"", ""ccc"": ""-"", ""vp"": ""-""}]","3, 4, 5","4, 5, 6","0ï¿½403,822 mps",70
https://hims.kpkt.gov.my/files/30633/P45/P45-20251103-00017583/IKLAN_BROSUR_01.pdf,30633-1,"[{""src"": ""https://hims.kpkt.gov.my/files/30633/P45/P45-20251103-00017583/IKLAN_BROSUR_01.pdf"", ""caption"": ""Iklan Projek""}]","[{""no"": ""30633-1/08-2027/0740(N)-(S)"", ""mula"": ""16 Aug 2024"", ""tamat"": ""15 Aug 2027"", ""tempoh"": ""36 bulan"", ""is_latest"": false, ""status"": ""Aktif""}]",3.14865,101.716208,"Kuala Lumpur, WP Kuala Lumpur",DATARAN PAVILION (PAVILION SQUARE),"6-2, Level 6, East Wing,, Menara Goldstone (holiday Inn Express),, No. 84, Jalan Raja Chulan,, 50200, Kuala Lumpur, Wp Kuala Lumpur","Unit 6-05, Level 6, Pavilion Tower, 75, Jalan Raja Chulan,, 50200, Kuala Lumpur, Wp Kuala Lumpur",,1,katniss.lim@1pavilion.com,30633,30633/11-2028/0308(A),30/11/2028,1/12/2023,,ARMANI HARTAJAYA SDN. BHD.,Aktif,0321438089,,Jadual H,Ya,11-Jul-29,11-Sep-27,11-Sep-24,36 Bulan,58 Bulan,22 Bulan,Kuala Lumpur,30633-1,Dataran Pavilion (pavilion Square),Wp Kuala Lumpur,16/8/2024,30633-1/08-2027/0740(A)-(S),15/8/2027,Lancar,Berfasa,Status komponen adalah berdasarkan laporan 7(f) terkini di HIMS.,"[{""jenis"": ""Pangsapuri Servis"", ""tingkat"": ""68"", ""bilik"": ""1, 2, 3"", ""tandas"": ""1, 2, 3"", ""keluasan"": ""0"", ""unit"": 960, ""hargaMin"": ""1,319,000.00"", ""hargaMax"": ""5,774,150.00"", ""peratus"": ""20.00"", ""komponen"": ""Lancar"", ""ccc"": ""-"", ""vp"": ""-""}]","1, 2, 3","1, 2, 3",0 mps,960
