lat,lng,name,pemaju_nama,hargaMin,hargaMax,permit_year,status_keseluruhan
3.127172,101.674385,38 BANGSAR RESIDENSI,ONE JSI DEVELOPMENT SDN. BHD.,"686,999.00","1,906,667.00",2026,Siap Dengan CCC
3.186789,101.711464,ALAIA TITIWANGSA,BLACK LOTUS DEVELOPMENT SDN. BHD.,"533,000.00","1,061,000.00",2026,Lewat
3.173868,101.659462,ARTE SOLARIS,SOLARIS CERIA SDN. BHD.,"988,000.00","2,699,000.00",2026,Lancar
3.202743,101.658038,ARUNYA @ KL NORTH,KLN LAND SDN. BHD.,"409,800.00","1,274,000.00",2026,Siap Dengan CCC
3.129842,101.67521,BANGSAR HILL PARK,BANGSAR HILL PARK DEVELOPMENT SDN. BHD.,"751,500.00","1,599,000.00",2026,Siap Dengan CCC
3.144097,101.711779,BRANNIGANZ SUITES @ BUKIT BINTANG,LEMBARAN BERUNTUNG SDN. BHD.,"1,283,975.00","1,722,240.00",2027,Lancar
3.074848,101.689928,BUKIT ASTER SRI PETALING,COSMO HOUSING DEVELOPMENT SDN. BHD.,"573,000.00","828,300.00",2026,Lancar
3.075667,101.691264,BUKIT ASTER SRI PETALING,COSMO HOUSING DEVELOPMENT SDN. BHD.,"569,000.00","843,300.00",2026,Lancar
3.151614,101.648083,CEDAR BUKIT DAMANSARA,SATIN MAGIC SDN. BHD.,"4,834,564.00","29,246,400.00",2026,Lewat
3.14865,101.716208,DATARAN PAVILION (PAVILION SQUARE),ARMANI HARTAJAYA SDN. BHD.,"1,319,000.00","5,774,150.00",2027,Lancar
3.1885,101.7086,"D'BRIGHTTON, RESIDENSI TIARA TITIWANGSA",LAKARAN CERIA SDN. BHD.,"636,000.00","2,610,000.00",2025,Siap Dengan CCC
3.085426,101.672496,D'IVO RESIDENCES @ OLD KLANG ROAD (ALSO KNOWN AS â€œRESIDENSI DEDAUN MASâ€),KONSORTIUM EXSIM DEVELOPMENT SDN. BHD.,"782,400.00","1,007,640.00",2026,Siap Dengan CCC
3.18467,101.70164,EKOTITIWANGSA,EKOVEST LAND SDN. BHD.,"434,700.00","740,600.00",2027,Lancar
3.099655,101.667635,ENLACE @ PANTAI SENTRAL PARK,AMONA DEVELOPMENT SDN. BHD.,"783,600.00","2,321,800.00",2027,Lancar
3.14222,101.634242,JENDELA RESIDENSI,SIME DARBY PROPERTY (KLGCC RESORT) SDN. BHD.,"1,261,800.00","3,857,640.00",2026,Lancar
3.16629,101.64369,KIARAMAS DEDAUN,KIARAMAS DEVELOPMENT SDN. BHD.,"1,095,600.00","4,184,700.00",2027,Lancar
3.16629,101.64369,KIARAMAS DEDAUN,KIARAMAS DEVELOPMENT SDN. BHD.,"1,112,800.00","4,310,200.00",2028,Lancar
3.12583,101.71188,KL 48,BCM HOLDINGS SDN. BHD.,"503,800.00","794,800.00",2026,Lancar
3.102161,101.711543,KOMPLEKS PERMAISURI Q,DWITASIK SDN. BHD.,"531,000.00","892,000.00",2026,Lancar
3.079179,101.68644,KUCHAI EAST RESIDENCES,SERI MUTIARA DEVELOPMENT SDN. BHD.,"340,800.00","725,000.00",2026,Terbengkalai
3.159864,101.714413,KYLIEZ SUITES @ KL CITY CENTRE,EXSIM AVENUE SDN. BHD.,"1,272,705.00","1,676,470.00",2027,Lancar
3.166739,101.635043,KYSA,INFRA PARK SDN. BHD.,"330,000.00","330,000.00",2027,Belum Mula
3.109485,101.742031,LEVIA RESIDENCE,MATRIX CONCEPTS (CHERAS) SDN. BHD.,"300,000.00","1,177,000.00",2026,Lancar
3.224469,101.653115,MEGA LEGACY (M) SDN. BHD.,MEGA LEGACY (M) SDN. BHD.,"567,000.00","7,221,800.00",2025,Siap Dengan CCC
3.116664,101.671597,MENARA EMAS BANGSAR (RESIDENSI KHAYA),BAYU MANTAP SDN. BHD.,"877,000.00","3,055,000.00",2027,Lancar
3.15915,101.714999,MENARA OXLEY,OXLEY RISING SDN. BHD.,"1,378,000.00","18,571,589.00",2026,Siap Dengan CCC
3.161342,101.710137,MENARA SENJA,DAWN LAND SDN. BHD.,"1,270,000.00","2,125,000.00",2027,Lancar
3.160426,101.713915,MENARA SUTERA INDAH (HANAZ SUITES @ KL CITY CENTRE),SUNRISE CHARM SDN. BHD.,"1,316,175.00","1,687,970.00",2028,Lancar
3.164117,101.715319,MENARA SUTERA RIA (HUGOZ SUITES @ KL CITY CENTRE),ARMADA ISTIMEWA SDN. BHD.,"915,515.00","1,345,960.00",2026,Lancar
3.156795,101.710176,MENARA TA FIRST,TA FIRST CREDIT SDN. BHD.,"1,976,400.00","8,020,800.00",2026,Lancar
